id,tier,score,company_name,website,city,state,main_phone,public_business_email,decision_maker,decision_maker_email,num_locations,services,why_they_qualify,likely_vendors,current_shop_software,personalization_point,source_urls,data_confidence,outreach_status,reply_status,next_action
1,A,9,Connect Truck Center,connecttruckcenter.com,Markham,IL,,,,,1,"HD truck & trailer repair; PM; DOT inspections; commercial fleets","10 service bays and 50+ diesel mechanics stated publicly — far above the 5-technician industry median. Very high parts throughput; no controller evident.","(no public evidence)","(no public evidence)","Publicly states 10 service bays and a team of over 50 diesel mechanics — one of the largest independents found in Chicagoland.",https://www.connecttruckcenter.com/ | https://www.connecttruckcenter.com/service,"Name/city/services: search-verified. Phone/email: NOT VERIFIED.",Not started,,Verify phone + find owner name on site/LinkedIn
2,A,9,NW Fleet Truck/Trailer Repair,nwfleet.net,Seattle,WA,(206) 686-1830,,,,4,"Fleet truck & trailer repair and maintenance; mobile service","Family-owned since 1987 with 4 shop locations (Portland OR; Tacoma, Seattle, Everett WA). Multi-location = parts transfers between sites and one bookkeeper reconciling several vendor statements.","(no public evidence)","(no public evidence)","Family-owned since 1987 with four shops across Portland, Tacoma, Seattle and Everett.",https://www.nwfleet.net/ | https://www.linkedin.com/company/nw-fleet-truck-trailer-repair-inc.,"Name/city/locations/phone: search-verified. Email: NOT VERIFIED.",Not started,,Verify phone; identify owner via LinkedIn company page
3,A,9,Blaine Brothers,blainebrothers.com,Blaine,MN,,,,,2+,"Semi truck & trailer repair; diesel engine repair; towing; Capacity yard spotter service; parts sales","45+ years in business; runs repair AND a parts operation AND sales — multiple vendor accounts and very high parts volume. Long vendor relationships mean long accumulation of unreconciled credits.","(no public evidence — sells parts, so holds distributor accounts)","(no public evidence)","More than 45 years in business; runs repair, towing, parts and Capacity spotter service under one roof.",https://blainebrothers.com/ | https://blainebrothers.com/company/,"Name/state/tenure/services: search-verified. Phone/email/location count: NOT VERIFIED.",Not started,,Verify location count and phone; find owner name
4,A,9,Specialized Truck Repair,specializedtruckrepair.com,Nashville,TN,615-703-3075,,,,4,"Light & heavy-duty truck repair; emergency breakdown; roadside; fleet maintenance","Four locations (Nashville, Dickson, Springfield, Fairview TN) and 30+ years repairing trucks. Multi-site parts movement is a classic core/credit failure mode.","(no public evidence)","(no public evidence)","Four Middle Tennessee locations and over 30 years repairing trucks; Nashville shop at 91 Fesslers Lane.",https://www.specializedtruckrepair.com/ | https://www.specializedtruckrepair.com/locations/nashville-tn,"Name/city/phone/locations/tenure: search-verified. Email: NOT VERIFIED.",Not started,,Verify phone; identify GM per location
5,A,9,Southeast Fleet Services,southeastfleetservices.com,Charlotte,NC,(704) 633-0311,,,,4,"HD truck repair; general diesel repair; heavy equipment repair; trailer","Four locations across NC, SC and GA (Salisbury NC, Augusta GA, Richburg SC, Charlotte NC). Heavy equipment repair adds high-value hydraulic cores on top of truck cores.","(no public evidence)","(no public evidence)","Four shops across three states — Salisbury NC, Charlotte NC, Richburg SC and Augusta GA.",https://www.southeastfleetservices.com/our-locations/charlotte-nc | https://www.southeastfleetservices.com/services/heavy-equipment-repair,"Name/city/phone/locations: search-verified. Email: NOT VERIFIED.",Not started,,Verify phone; find owner/GM
6,A,9,Superior Diesel,superiordieselhouston.com,Houston,TX,281-219-6900,,,,1,"HD truck & trailer repair; transmission diagnostics; clutch replacement; gearbox rebuilds; torque converter service","Publicly states 11 bays. Transmission and gearbox rebuild work carries some of the highest core values in heavy-duty — exactly where lost core credits hurt most.","(no public evidence)","(no public evidence)","Eleven bays with dedicated diesel transmission specialists on staff.",https://www.superiordieselhouston.com/ | https://www.superiordieselhouston.com/repairs/transmission-clutch-repair,"Name/city/phone/bays/services: search-verified. Email: NOT VERIFIED.",Not started,,Verify phone; find owner name
7,A,9,J&J Truck and Trailer Repair,UNKNOWN,Detroit,MI,313-999-3088,,,,1,"Truck, trailer & tire repair; engine swaps (CAT, Cummins, Detroit Diesel, Mercedes, Volvo); DOT; brakes; transmission; electrical; welding/fab; reefer","Family-owned and operated since 1999. Performs full engine swaps across five major engine makes — the highest core-value work in the industry. Reefer work adds another vendor channel.","OEM/engine channels implied by CAT, Cummins, Detroit Diesel, Mercedes and Volvo engine work","(no public evidence)","Family-owned since 1999 at 8332 Kirkwood St; does complete engine swaps for CAT, Cummins, Detroit Diesel, Mercedes and Volvo.",https://www.4roadservice.com/detroit-michigan/provider/j-j-truck-and-trailer-repair,"Name/city/address/phone/tenure/services: from directory listing. Website: NOT FOUND. Email: NOT VERIFIED.",Not started,,Find website + owner name; verify phone
8,A,8,FLA Semi Truck & Trailer Repair,flatruckrepair.com,Tampa,FL,,,,,3,"Commercial truck repair; semi & trailer repair; 24/7 roadside","Three shop locations (Tampa, Orlando, Dade City) and 20+ years in business. Multi-site parts and core movement across a wide Florida footprint.","(no public evidence)","(no public evidence)","More than 20 years serving drivers and fleet managers, with shops in Tampa, Orlando and Dade City.",https://www.flatruckrepair.com/ | https://www.flatruckrepair.com/semi-truck-and-trailer-repair,"Name/state/locations/tenure: search-verified. Phone/email: NOT VERIFIED.",Not started,,Verify phone; identify owner
9,A,8,Goody's Fleet Solutions,goodysfleetsolutions.com,Tampa,FL,813-374-8969,,,,2+,"Light-to-heavy duty mechanical; diesel repair; on-site fleet maintenance; truck & trailer repair","Family-owned with a 30,000 sq ft Tampa facility, serving Tampa, Orlando, Jacksonville, South Florida and North Atlanta. Large footprint with high parts throughput.","(no public evidence)","(no public evidence)","Family-owned with a 30,000 square foot garage in Tampa serving the whole Southeast, including North Atlanta.",https://goodysfleetsolutions.com/ | https://goodysfleetsolutions.com/services/heavy-duty-truck-repair/,"Name/city/phone/facility size: search-verified. Email: NOT VERIFIED.",Not started,,Verify phone; find owner name
10,A,8,All American Sleeper,allamericansleeper.com,Tampa,FL,,,,,2,"Truck body & trailer repair; parts service","Family owned and operated since 1943 — over 80 years of vendor relationships. Serves Tampa Bay and Orlando. Also sells parts, meaning distributor accounts and a second reconciliation surface.","(no public evidence — sells parts, so holds distributor accounts)","(no public evidence)","Family owned and operated since 1943 — over 80 years serving the trucking industry.",https://allamericansleeper.com/,"Name/city/tenure/services: search-verified. Phone/email: NOT VERIFIED.",Not started,,Verify phone; identify current owner (likely multi-generational)
