rank,company,website,city,state,decision_maker,role,verified_email,email_source,phone,phone_verified,personalized_observation,likely_vendors_if_evidenced,number_of_locations,why_this_shop,enrichment_status,outreach_status,reply_status,uses_reconciliation_tool,still_chases_manually,next_action
1,Connect Truck Center,connecttruckcenter.com,Markham,IL,,,,,,,"Publicly states 10 service bays and a team of over 50 diesel mechanics — one of the largest independents found in Chicagoland.",,1,"Largest verified independent in the list. 10 bays / 50+ mechanics implies parts spend far above the $400K qualifying floor, with no controller evident.",Not started,Not started,,,,"Open site: find owner/GM on About page, public email, verify phone"
2,Superior Diesel,superiordieselhouston.com,Houston,TX,,,,,281-219-6900,No,"Eleven bays with dedicated diesel transmission specialists on staff.",,1,"11 bays plus transmission/gearbox rebuild work — reman transmissions carry among the highest core charges in heavy-duty.",Not started,Not started,,,,"Open site: find owner name, public email, verify phone 281-219-6900"
3,J&J Truck and Trailer Repair,UNKNOWN,Detroit,MI,,,,,313-999-3088,No,"Family-owned since 1999 at 8332 Kirkwood St; does complete engine swaps for CAT, Cummins, Detroit Diesel, Mercedes and Volvo.","Multiple OEM/engine channels implied by CAT, Cummins, Detroit Diesel, Mercedes and Volvo engine work",1,"Complete engine swaps across five engine makes = highest core values in the industry AND five separate parts channels to reconcile. Owner-operated since 1999.",Not started,Not started,,,,"Find website (no URL located); verify phone 313-999-3088; find owner name"
4,Specialized Truck Repair,specializedtruckrepair.com,Nashville,TN,,,,,615-703-3075,No,"Four Middle Tennessee locations and over 30 years repairing trucks; Nashville shop at 91 Fesslers Lane.",,4,"Four locations means parts transferred between sites and one bookkeeper reconciling several vendor statements — the strongest structural leak signal in the ICP.",Not started,Not started,,,,"Open site: find owner/GM, public email, verify phone 615-703-3075"
5,NW Fleet Truck/Trailer Repair,nwfleet.net,Seattle,WA,,,,,(206) 686-1830,No,"Family-owned since 1987 with four shops across Portland, Tacoma, Seattle and Everett.",,4,"Four shops across two states, family-owned for 38 years. Long vendor relationships plus multi-site parts movement.",Not started,Not started,,,,"Open site + LinkedIn company page: find owner, public email, verify phone"
6,Southeast Fleet Services,southeastfleetservices.com,Charlotte,NC,,,,,(704) 633-0311,No,"Four shops across three states — Salisbury NC, Charlotte NC, Richburg SC and Augusta GA.",,4,"Four locations in three states plus heavy equipment repair, which adds high-value hydraulic cores on top of truck cores.",Not started,Not started,,,,"Open site: find owner/GM, public email, verify phone (704) 633-0311"
7,Fleet Master Truck & Trailer Repair,gofleetmaster.com,Bedford Park,IL,,,,,,,"Two Chicago-area shops (Bedford Park and Melrose Park) with a dedicated Detroit engine specialty.",,2,"Heavy-duty transmission and Detroit engine specialty across two locations — very high core values, multi-site parts movement.",Not started,Not started,,,,"Open site: find owner, public email, phone"
8,Karen Truck & Trailer Repair,karentruckrepair.com,West Chicago,IL,,,,,,,"Two Chicago-area shops (West Chicago and Palatine) doing full trailer body rebuilding on dry vans, flatbeds, chassis and moving vans.",,2,"Trailer rebuilding across many trailer types means broad parts sourcing; two locations compound reconciliation error.",Not started,Not started,,,,"Open site: find owner, public email, phone"
9,Precision Truck & Trailer Repair,precisiontruckut.com,Salt Lake City,UT,,,,,(801) 977-0891,No,"Family-owned since 1988 and open seven days a week; the site says plainly they are not a franchise, they are a family.",,1,"37 years of vendor relationships, open 7 days a week (high throughput), explicitly independent — decision maker is one person.",Not started,Not started,,,,"Open site: find owner name, public email, verify phone (801) 977-0891"
10,Schroeder Truck Repair,schroedertrucks.com,St. Louis,MO,,,,,,,"Family-owned since the 1950s with a union-based workforce.",,1,"70+ years of accumulated vendor relationships and process inertia. Union workforce implies real scale.",Not started,Not started,,,,"Open site: find current-generation owner, public email, phone"
